DRCOV VERSION: 3
DRCOV FLAVOR: drcov
Module Table: version 5, count 12
Columns: id, containing_id, start, end, entry, offset, preferred_base, checksum, timestamp, path
  0,   0, 0x00ce0000, 0x00cf3000, 0x00ce12a0, 0000000000000000, 0x00ce0000, 0x00018f15, 0x56e72fdb,  B:\mbks\python_2_lab\exe\vuln13.exe
module[ 10]: 0x00066f80,  21
module[ 11]: 0x0003e840,  20
module[ 11]: 0x0003e854,  29
module[ 11]: 0x0003e871,  11
module[ 10]: 0x00066f95,   2
module[ 10]: 0x000555f9,   2
module[ 10]: 0x000555ed,   2
module[ 10]: 0x00055603,   4
module[ 10]: 0x0005560f,  18
module[ 10]: 0x00056375,  19
module[ 10]: 0x0004798c,  22
module[ 10]: 0x00047abb,  12
module[ 10]: 0x00047ac7,   7
module[ 10]: 0x00047ace,  12
module[ 10]: 0x00047afe,  18
module[ 10]: 0x00047b19,   4
module[ 10]: 0x00047b1e,  14
module[ 10]: 0x00047b2c,  10
module[ 10]: 0x00047b87,   5
module[ 10]: 0x00047bd9,   4
module[ 10]: 0x00047bdd,  15
module[ 11]: 0x000478ba,  56
module[ 11]: 0x000478f2,   4
module[ 11]: 0x000478f6,   8
module[ 11]: 0x000478e2,  16
module[ 11]: 0x00047906,   5
module[ 11]: 0x0004792d,  12
module[ 11]: 0x00047945,  30
module[ 11]: 0x00047965,  17
module[ 11]: 0x00047b7e,   8
module[ 11]: 0x00047b50,  34
module[ 11]: 0x00048132,   8
module[ 11]: 0x00047f64,  20
module[ 11]: 0x000795b0,  12
module[ 11]: 0x000795bc,  14
module[ 11]: 0x000795ca,   7
module[ 11]: 0x000795dd,  24
module[ 11]: 0x000795f5,   6
module[ 11]: 0x00079605,   6
module[ 11]: 0x00047f78,   8
module[ 10]: 0x00047bec,   6
module[ 10]: 0x00047c42,  18
module[ 10]: 0x000479a2,   9
module[ 10]: 0x000479d0,   6
module[ 10]: 0x00056388,  15
module[ 10]: 0x00056397,   7
module[ 10]: 0x0005639e,  17
module[ 10]: 0x00055621,  13
module[ 10]: 0x0005562e,   7
module[ 10]: 0x00055635,   4
module[ 10]: 0x00055639,  17
